Interest Group,Year,State,Candidate,Election Outcome,Election Type,Party,Incumbent,Office,Contribution
HUMAN RIGHTS CAMPAIGN,2012,VT,"SANDERS, BERNARD (BERNIE)",Won-General,Standard,INDEPENDENT,Incumbent,US SENATE DISTRICT VT SW-CLASS I,1000.00
HUMAN RIGHTS CAMPAIGN,2012,DE,"CARPER, THOMAS R (TOM)",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT DE SW-CLASS I,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"BERMAN, HOWARD L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 028,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"ACKERMAN, GARY L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 005,1000.00
HUMAN RIGHTS CAMPAIGN,2010,IL,"DAVIS, DANIEL K (DANNY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 007,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MI,"KILDEE, DALE E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MI 005,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NC,"PRICE, DAVID E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NC 004,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"MARKEY, EDWARD J",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 007,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"TOWNS, EDOLPHUS",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 010,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"SLAUGHTER, LOUISE M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 028,1000.00
HUMAN RIGHTS CAMPAIGN,2010,OR,"DEFAZIO, PETER A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OR 004,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"LOWEY, NITA M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 018,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"PAYNE, DONALD M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 010,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"NEAL, RICHARD E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"PALLONE JR, FRANK",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 006,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"ENGEL, ELIOT L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 017,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CT,"DELAURO, ROSA L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CT 003,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"SERRANO, JOSE E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 016,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"OLVER, JOHN W",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,PA,"FATTAH, CHAKA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"JOHNSON, EDDIE BERNICE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 030,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"HARMAN, JANE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 036,1000.00
HUMAN RIGHTS CAMPAIGN,2010,VA,"SCOTT, ROBERT C (BOBBY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT VA 003,1000.00
HUMAN RIGHTS CAMPAIGN,2010,IL,"RUSH, BOBBY L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"ESHOO, ANNA G",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 014,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"ROYBAL-ALLARD, LUCILLE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 034,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NC,"WATT, MEL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NC 012,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"FILNER, BOB",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 051,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"BECERRA, XAVIER",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 031,1000.00
HUMAN RIGHTS CAMPAIGN,2010,FL,"HASTINGS, ALCEE L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 023,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"VELAZQUEZ, NYDIA M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 012,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"MCGOVERN, JAMES P",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 003,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"DOGGETT, LLOYD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 025,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"JACKSON LEE, SHEILA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 018,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"LOFGREN, ZOE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 016,1000.00
HUMAN RIGHTS CAMPAIGN,2010,PA,"DOYLE, MICHAEL (MIKE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 014,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"FARR, SAM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 017,1000.00
HUMAN RIGHTS CAMPAIGN,2010,IL,"JACKSON JR, JESSE L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"SHERMAN, BRAD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 027,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"REYES, SILVESTRE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 016,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MD,"CUMMINGS, ELIJAH",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 007,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"HINOJOSA, RUBEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 015,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CO,"DEGETTE, DIANA L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CO 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"ROTHMAN, STEVEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 009,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"PASCRELL JR, BILL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 008,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MI,"KILPATRICK, CAROLYN CHEEKS",Lost-Primary,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MI 013,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"TIERNEY, JOHN F",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 006,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"BACA JR, JOE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 043,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"THOMPSON, MIKE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,IL,"SCHAKOWSKY, JANICE D (JAN)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 009,1000.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"GONZALES, CHARLES A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 020,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"CAPPS, LOIS",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 023,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"LEE, BARBARA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 009,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"NAPOLITANO, GRACE FLORES",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 038,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"CAPUANO, MICHAEL E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 008,1000.00
HUMAN RIGHTS CAMPAIGN,2010,WA,"INSLEE, JAY ROBERT",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT WA 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"SCHIFF, ADAM B",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 029,1000.00
HUMAN RIGHTS CAMPAIGN,2010,RI,"LANGEVIN, JAMES R",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT RI 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MN,"MCCOLLUM, BETTY",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US HOUSE DISTRICT MN 004,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"ISRAEL, STEVE J",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MA,"LYNCH, STEPHEN F",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 009,1000.00
HUMAN RIGHTS CAMPAIGN,2010,OH,"RYAN, TIMOTHY J (TIM)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 017,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"SANCHEZ, LINDA T",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 039,1000.00
HUMAN RIGHTS CAMPAIGN,2010,PA,"SCHWARTZ, ALLYSON YOUNG",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 013,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MO,"CLEAVER II, EMANUEL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MO 005,1000.00
HUMAN RIGHTS CAMPAIGN,2010,WI,"MOORE, GWENDOLYNNE (GWEN)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT WI 004,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"HIGGINS, BRIAN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 027,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"MATSUI, DORIS",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 005,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CT,"COURTNEY, JOSEPH D",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CT 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NJ,"SIRES, ALBIO",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 013,1000.00
HUMAN RIGHTS CAMPAIGN,2010,FL,"CASTOR, KATHY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 011,1000.00
HUMAN RIGHTS CAMPAIGN,2010,VT,"WELCH, PETER F",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT VT 001,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"CLARKE, YVETTE D",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 011,1000.00
HUMAN RIGHTS CAMPAIGN,2010,HI,"HIRONO, MAZIE K",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT HI 002,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MN,"ELLISON, KEITH MAURICE",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Incumbent,US HOUSE DISTRICT MN 005,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"MEEKS, GREGORY W",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 006,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"RICHARDSON, LAURA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 037,1000.00
HUMAN RIGHTS CAMPAIGN,2010,PA,"DAHLKEMPER, KATHLEEN ANN (KATHY)",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 003,1000.00
HUMAN RIGHTS CAMPAIGN,2010,IN,"CARSON, ANDRE D",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IN 007,1000.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"TONKO, PAUL DAVID",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 021,1000.00
HUMAN RIGHTS CAMPAIGN,2010,CA,"CHU, JUDY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 032,1000.00
HUMAN RIGHTS CAMPAIGN,2010,AL,"SEWELL, TERRI A",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AL 007,1000.00
HUMAN RIGHTS CAMPAIGN,2010,MI,"CLARKE, HANSEN H",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT MI 013,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"RUSH, BOBBY L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 001,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"KELLY, ROBIN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 002,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IN,"VISCLOSKY, PETER J",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IN 001,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"QUIGLEY, MICHAEL B (MIKE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"DUCKWORTH, LADDA (TAMMY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 008,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IL,"FOSTER, GEORGE WILLIAM (BILL)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 011,1000.00
HUMAN RIGHTS CAMPAIGN,2014,IN,"CARSON, ANDRE D",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IN 007,1000.00
HUMAN RIGHTS CAMPAIGN,2014,KY,"YARMUTH, JOHN A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT KY 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"RUPPERSBERGER, C A (DUTCH)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 002,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"EDWARDS, DONNA FERN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 004,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"DELANEY, JOHN K",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 006,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"CUMMINGS, ELIJAH",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 007,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MD,"VAN HOLLEN JR, CHRISTOPHER J (CHRIS)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MD 008,1000.00
HUMAN RIGHTS CAMPAIGN,2014,AL,"SEWELL, TERRI A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AL 007,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TX,"JOHNSON, EDDIE BERNICE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 030,1000.00
HUMAN RIGHTS CAMPAIGN,2014,GA,"LEWIS, JOHN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT GA 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OR,"BONAMICI, SUZANNE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OR 001,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OR,"DEFAZIO, PETER A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OR 004,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OR,"SCHRADER, WALTER (KURT)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OR 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"HUFFMAN, JARED",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 002,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"GARAMENDI, JOHN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"LEE, BARBARA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 013,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"SPEIER, JACKIE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 014,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"SWALWELL, ERIC",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 015,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"COSTA, JIM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 016,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"ESHOO, ANNA G",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 018,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"LOFGREN, ZOE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 019,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"FARR, SAM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 020,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"CHU, JUDY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 027,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"SCHIFF, ADAM B",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 028,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"SHERMAN, BRAD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 030,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"BECERRA, XAVIER",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 034,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"ROYBAL-ALLARD, LUCILLE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 040,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"HAHN, JANICE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 044,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"SANCHEZ, LORETTA L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 046,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"LOWENTHAL, ALAN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 047,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"VARGAS, JUAN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 051,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CA,"DAVIS, SUSAN A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 053,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NJ,"SIRES, ALBIO",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 008,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NJ,"PASCRELL JR, BILL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 009,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TN,"COOPER, JIM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TN 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TN,"COHEN, STEPHEN I",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TN 009,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OH,"BEATTY, JOYCE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OH,"KAPTUR, MARCY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 009,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OH,"FUDGE, MARCIA L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 011,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OH,"RYAN, TIMOTHY J (TIM)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OH 013,1000.00
HUMAN RIGHTS CAMPAIGN,2014,PA,"FATTAH, CHAKA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 002,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MI,"KILDEE, DANIEL T",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MI 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MI,"LEVIN, SANDER",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MI 009,1000.00
HUMAN RIGHTS CAMPAIGN,2014,CO,"PERLMUTTER, EDWIN G (ED)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CO 007,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NV,"TITUS, DINA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NV 001,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"ISRAEL, STEVE J",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"MEEKS, GREGORY W",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"MENG, GRACE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 006,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"VELAZQUEZ, NYDIA M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 007,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"JEFFRIES, HAKEEM S",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 008,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"MALONEY, CAROLYN B",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 012,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"CROWLEY, JOSEPH (JOE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 014,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"SERRANO, JOSE E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 015,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"ENGEL, ELIOT L",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 016,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"LOWEY, NITA M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 017,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"TONKO, PAUL DAVID",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 020,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NY,"SLAUGHTER, LOUISE M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 025,1000.00
HUMAN RIGHTS CAMPAIGN,2014,NC,"PRICE, DAVID E",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NC 004,1000.00
HUMAN RIGHTS CAMPAIGN,2014,VA,"SCOTT, ROBERT C (BOBBY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT VA 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,VA,"CONNOLLY, GERALD E (GERRY)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT VA 011,1000.00
HUMAN RIGHTS CAMPAIGN,2014,OR,"BLUMENAUER, EARL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT OR 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,AZ,"GRIJALVA, RAUL M",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 003,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TX,"HINOJOSA, RUBEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 015,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TX,"CASTRO, JOAQUIN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 020,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TX,"VELA, FILEMON",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 034,1000.00
HUMAN RIGHTS CAMPAIGN,2014,TX,"DOGGETT, LLOYD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT TX 035,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MO,"CLAY JR, WILLIAM LACY",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MO 001,1000.00
HUMAN RIGHTS CAMPAIGN,2014,MO,"CLEAVER II, EMANUEL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MO 005,1000.00
HUMAN RIGHTS CAMPAIGN,2014,WI,"KIND, RON",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT WI 003,1000.00
