"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"276","EQUALITY MARYLAND",2011,350,"MARYLAND DEMOCRATIC PARTY",250,250,0.714285714285714
"277","EQUALITY MARYLAND",2010,36225,"0",0,0,0
"278","EQUALITY MARYLAND",2008,1100,"0",0,0,0
"279","EQUALITY MARYLAND",2007,350,"0",0,0,0
"280","EQUALITY MARYLAND",2006,14900,"0",0,0,0
"281","EQUALITY MICHIGAN",2011,500,"MICHIGAN HOUSE DEMOCRATIC FUND",500,500,1
"282","EQUALITY MICHIGAN",2010,12000,"MICHIGAN HOUSE DEMOCRATIC FUND",10000,10000,0.833333333333333
"283","EQUALITY MICHIGAN",2008,44300,"0",0,0,0
"284","EQUALITY MICHIGAN",2006,2350,"MICHIGAN HOUSE DEMOCRATIC FUND",500,500,0.212765957446809
"285","EQUALITY MICHIGAN",2005,2000,"MICHIGAN HOUSE DEMOCRATIC FUND",1000,2000,1
"286","EQUALITY MICHIGAN",2005,2000,"SENATE DEMOCRATIC FUND OF MICHIGAN",1000,2000,1
"287","EQUALITY MICHIGAN",2004,53500,"MICHIGAN HOUSE DEMOCRATIC FUND",21000,22000,0.411214953271028
"288","EQUALITY MICHIGAN",2004,53500,"SENATE DEMOCRATIC FUND OF MICHIGAN",1000,22000,0.411214953271028
"289","EQUALITY MICHIGAN",2002,3000,"0",0,0,0
"290","EQUALITY NC ACTION FUND",2016,4400,"0",0,0,0
"291","EQUALITY NC ACTION FUND",2014,2995,"0",0,0,0
"292","EQUALITY NC ACTION FUND",2012,18750,"0",0,0,0
"293","EQUALITY NC ACTION PAC",2012,250,"0",0,0,0
"294","EQUALITY NEW HAMPSHIRE",2010,4500,"0",0,0,0
"295","EQUALITY NEW MEXICO",2018,1000,"NEW MEXICO DEMOCRATIC PARTY",1000,1000,1
"296","EQUALITY NEW MEXICO",2016,2500,"NEW MEXICO DEMOCRATIC PARTY",2500,2500,1
"297","EQUALITY NEW MEXICO",2010,100,"0",0,0,0
"298","EQUALITY NEW MEXICO",2008,19250,"0",0,0,0
"299","EQUALITY NEW MEXICO",2008,500,"0",0,0,0
"300","EQUALITY NEW MEXICO",2007,200,"NEW MEXICO DEMOCRATIC PARTY",200,200,1
"301","EQUALITY NEW MEXICO",2006,7800,"NEW MEXICO DEFENSE FUND",1000,1000,0.128205128205128
"302","EQUALITY NEW MEXICO",2005,125,"NEW MEXICO DEMOCRATIC PARTY",125,125,1
"303","EQUALITY NEW MEXICO",2004,9545,"NEW MEXICO DEFENSE FUND",1000,1000,0.104766893661603
"304","EQUALITY NEW MEXICO",2002,600,"0",0,0,0
"305","EQUALITY NORTH CAROLINA",2016,1000,"0",0,0,0
"306","EQUALITY NORTH CAROLINA",2015,1000,"NORTH CAROLINA DEMOCRATIC PARTY",1000,1000,1
"307","EQUALITY NORTH CAROLINA",2014,500,"0",0,0,0
"308","EQUALITY NORTH CAROLINA",2012,18850,"NORTH CAROLINA DEMOCRATIC PARTY",500,500,0.026525198938992
"309","EQUALITY NORTH CAROLINA",2011,2000,"NORTH CAROLINA DEMOCRATIC PARTY",500,500,0.25
"310","EQUALITY NORTH CAROLINA",2010,39750,"0",0,0,0
"311","EQUALITY NORTH CAROLINA",2009,1000,"NORTH CAROLINA DEMOCRATIC PARTY",1000,1000,1
"312","EQUALITY NORTH CAROLINA",2008,24500,"NORTH CAROLINA DEMOCRATIC PARTY",1000,1000,0.0408163265306122
"313","EQUALITY NORTH CAROLINA",2007,750,"NORTH CAROLINA DEMOCRATIC PARTY",750,750,1
"314","EQUALITY NORTH CAROLINA",2006,46646.8,"NORTH CAROLINA DEMOCRATIC PARTY",6100,6100,0.130769956352847
"315","EQUALITY NORTH CAROLINA",2005,3000,"NORTH CAROLINA DEMOCRATIC PARTY",3000,3000,1
"316","EQUALITY NORTH CAROLINA",2004,18625,"NORTH CAROLINA DEMOCRATIC PARTY",500,500,0.0268456375838926
"317","EQUALITY NORTH CAROLINA",2002,200,"NORTH CAROLINA DEMOCRATIC PARTY",100,100,0.5
"318","EQUALITY NORTH CAROLINA",2000,3250,"0",0,0,0
"319","EQUALITY OHIO",2010,250,"0",0,0,0
"320","EQUALITY OHIO",2008,5250,"OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS",5000,5000,0.952380952380952
"321","EQUALITY OHIO",2006,5974.99,"0",0,0,0
"322","EQUALITY PAC",2020,22500,"0",0,0,0
"323","EQUALITY PAC",2019,25000,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,15000,0.6
"324","EQUALITY PAC",2018,826336.6,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,15000,0.0181524090788185
"325","EQUALITY PAC",2017,32500,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,15000,0.461538461538462
"326","EQUALITY PENNSYLVANIA",2016,500,"0",0,0,0
"327","EQUALITY PENNSYLVANIA",2014,10944,"0",0,0,0
"328","EQUALITY PENNSYLVANIA",2012,11500,"0",0,0,0
"329","EQUALITY SOUTH DAKOTA",2016,4200,"0",0,0,0
"330","EQUALITY SOUTH DAKOTA",2014,3000,"0",0,0,0
"331","EQUALITY SOUTH DAKOTA",2012,4550,"0",0,0,0
"332","EQUALITY SOUTH DAKOTA",2010,23150,"0",0,0,0
"333","EQUALITY SOUTH DAKOTA",2008,25500,"0",0,0,0
"334","EQUALITY UTAH",2018,22450,"0",0,0,0
"335","EQUALITY UTAH",2017,500,"UTAH HOUSE DEMS LEADERSHIP COUNCIL",500,500,1
"336","EQUALITY UTAH",2016,10265,"UTAH HOUSE DEMS LEADERSHIP COUNCIL",1000,1175,0.114466634193863
"337","EQUALITY UTAH",2016,10265,"UTAH DEMOCRATIC PARTY",175,1175,0.114466634193863
"338","EQUALITY UTAH",2015,2450,"SENDEM PAC OF UTAH",500,700,0.285714285714286
"339","EQUALITY UTAH",2015,2450,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",200,700,0.285714285714286
"340","EQUALITY UTAH",2014,26950,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",1000,1000,0.0371057513914657
"341","EQUALITY UTAH",2013,14900,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",1000,1900,0.12751677852349
"342","EQUALITY UTAH",2013,14900,"UTAH DEMOCRATIC PARTY",900,1900,0.12751677852349
"343","EQUALITY UTAH",2012,24600,"UTAH DEMOCRATIC PARTY",750,1250,0.0508130081300813
"344","EQUALITY UTAH",2012,24600,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",500,1250,0.0508130081300813
"345","EQUALITY UTAH",2011,950,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",500,950,1
"346","EQUALITY UTAH",2011,950,"UTAH DEMOCRATIC PARTY",450,950,1
"347","EQUALITY UTAH",2010,14300,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",500,500,0.034965034965035
"348","EQUALITY UTAH",2009,600,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",600,600,1
"349","EQUALITY UTAH",2008,30500,"0",0,0,0
"350","EQUALITY UTAH",2006,26700,"SENATE DEMOCRATS OF UTAH",1000,1800,0.0674157303370786
"351","EQUALITY UTAH",2006,26700,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",500,1800,0.0674157303370786
"352","EQUALITY UTAH",2006,26700,"UTAH DEMOCRATIC PARTY",300,1800,0.0674157303370786
"353","EQUALITY UTAH",2004,36550,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",2750,5250,0.143638850889193
"354","EQUALITY UTAH",2004,36550,"UTAH DEMOCRATIC PARTY",2500,5250,0.143638850889193
"355","EQUALITY VIRGINIA",2019,1000,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1000,1000,1
"356","EQUALITY VIRGINIA",2018,1500,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1500,1500,1
"357","EQUALITY VIRGINIA",2017,19000,"COMMONWEALTH VICTORY FUND OF VIRGINIA",250,250,0.0131578947368421
"358","EQUALITY VIRGINIA",2016,250,"0",0,0,0
"359","EQUALITY VIRGINIA",2015,1590.72,"0",0,0,0
"360","EQUALITY VIRGINIA",2013,360.11,"VIRGINIA DEMOCRATIC PARTY",360.11,360.11,1
"361","EQUALITY VIRGINIA",2012,750,"COMMONWEALTH VICTORY FUND OF VIRGINIA",750,750,1
"362","EQUALITY VIRGINIA",2011,6600,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1000,1000,0.151515151515152
"363","EQUALITY VIRGINIA",2010,1000,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1000,1000,1
"364","EQUALITY VIRGINIA",2009,14000,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1000,1000,0.0714285714285714
"365","EQUALITY VIRGINIA",2008,1500,"COMMONWEALTH VICTORY FUND OF VIRGINIA",1250,1250,0.833333333333333
"366","EQUALITY VIRGINIA",2007,35287.16,"COMMONWEALTH VICTORY FUND OF VIRGINIA",500,500,0.0141694599395361
"367","EQUALITY VIRGINIA",2007,500,"COMMONWEALTH VICTORY FUND OF VIRGINIA",500,500,1
"368","EQUALITY VIRGINIA",2006,169322,"VIRGINIA SENATE DEMOCRATIC CAUCUS",500,500,0.00295295354413484
"369","EQUALITY VIRGINIA",2005,11308.12,"0",0,0,0
"370","EQUALITY VIRGINIA EDUCATION FOUNDATION",2006,1125,"0",0,0,0
"371","EQUALITY WA PAC",1998,1185,"0",0,0,0
"372","EVERGREEN PFLAG",2006,54,"0",0,0,0
"373","FAIR WISCONSIN",2014,26980,"0",0,0,0
"374","FAIRNESS CAMPAIGN",2004,17000,"0",0,0,0
"375","FAIRNESS FOR ALL FAMILIES",2008,25000,"0",0,0,0
"376","FAIRNESS FUND",2012,100,"0",0,0,0
"377","FAIRNESS FUND",2010,26625,"IOWA DEMOCRATIC PARTY",1125,1125,0.0422535211267606
"378","FAIRNESS FUND",2009,8738.81,"IOWA DEMOCRATIC PARTY",8738.81,8738.81,1
"379","FAIRNESS FUND",2008,31000,"IOWA DEMOCRATIC PARTY",30000,30000,0.967741935483871
"380","FAMILIES FOR A BETTER IDAHO",2008,3500,"0",0,0,0
"381","FAMILIES FOR A BETTER IDAHO",2006,0,"0",0,0,NA
"382","FAMILY EQUALITY",2010,500,"0",0,0,0
"383","FAMILY EQUALITY COUNCIL",2012,500,"0",0,0,0
"384","FAMILY EQUALITY COUNCIL",2008,59687.55,"0",0,0,0
"385","FLINT HILLS PFLAG",2005,1830,"0",0,0,0
"386","FLORIDA GLBT DEMOCRATIC CAUCUS",2017,450,"FLORIDA DEMOCRATIC PARTY",450,450,1
"387","FLORIDA GLBT DEMOCRATIC CAUCUS",2016,1500,"FLORIDA DEMOCRATIC PARTY",1500,1500,1
"388","FLORIDA GLBT DEMOCRATIC CAUCUS",2015,270,"FLORIDA DEMOCRATIC PARTY",270,270,1
"389","FLORIDA GLBT DEMOCRATIC CAUCUS",2014,1750,"FLORIDA DEMOCRATIC PARTY",1750,1750,1
"390","FLORIDA GLBT DEMOCRATIC CAUCUS",2013,4600,"FLORIDA DEMOCRATIC PARTY",4600,4600,1
"391","FLORIDA GLBT DEMOCRATIC CAUCUS",2011,210,"FLORIDA DEMOCRATIC PARTY",210,210,1
"392","FLORIDA GLBT DEMOCRATIC CAUCUS",2010,4890.4,"FLORIDA DEMOCRATIC PARTY",4390.4,4390.4,0.897758874529691
"393","FLORIDA GLBT DEMOCRATIC CAUCUS",2009,842.95,"FLORIDA DEMOCRATIC PARTY",842.95,842.95,1
"394","FLORIDA GLBT DEMOCRATIC CAUCUS",2008,250,"FLORIDA DEMOCRATIC PARTY",250,250,1
"395","FLORIDA GLBT DEMOCRATIC CAUCUS",2007,569.35,"FLORIDA DEMOCRATIC PARTY",569.35,569.35,1
"396","FLORIDA RED & BLUE",2008,25000,"0",0,0,0
"397","FLORIDA TRIANGLE DEMOCRATIC CAUCUS",2005,70,"FLORIDA DEMOCRATIC PARTY",70,70,1
"398","FOUR FREEDOMS DEMOCRATIC CLUB",2004,200,"0",0,0,0
"399","FREEDOM FOR ALL AMERICANS",2018,156026.23,"0",0,0,0
"400","FREEDOM MASSACHUSETTS EDUCATION FUND",2018,705932.8,"0",0,0,0
"401","FREEDOM TO MARRY",2012,4014179.82,"0",0,0,0
"402","FREEDOM TO MARRY",2009,232385,"MAINE DEMOCRATIC PARTY",2385,2385,0.0102631409084063
"403","FREEDOM TO MARRY",2008,800,"0",0,0,0
"404","FREEDOM TO MARRY",2006,1550,"0",0,0,0
"405","FREEDOM TO MARRY",2004,9250,"0",0,0,0
"406","FRESNO STONEWALL DEMOCRATS",2010,200,"0",0,0,0
"407","FRESNO STONEWALL DEMOCRATS",2010,100,"0",0,0,0
"408","FRESNO STONEWALL DEMOCRATS",2010,100,"0",0,0,0
"409","G V STONEWALL DEMOCRATIC CLUB",2010,500,"0",0,0,0
"410","G/L COMMUNITY TRUST",2006,20,"0",0,0,0
"411","GARDEN STATE EQUALITY",2017,500,"0",0,0,0
"412","GARDEN STATE EQUALITY",2011,2500,"0",0,0,0
"413","GARDEN STATE EQUALITY",2009,22725,"DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY",9000,10000,0.44004400440044
"414","GARDEN STATE EQUALITY",2009,22725,"NEW JERSEY DEMOCRATIC PARTY",1000,10000,0.44004400440044
"415","GARDEN STATE EQUALITY",2007,26200,"DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY",7500,7500,0.286259541984733
"416","GARDEN STATE EQUALITY",2006,2000,"DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY",2000,2000,1
"417","GARDEN STATE EQUALITY LLC",2008,11500,"NEW JERSEY DEMOCRATIC PARTY",5000,6500,0.565217391304348
"418","GARDEN STATE EQUALITY LLC",2008,11500,"SENATE DEMOCRATIC MAJORITY OF NEW JERSEY",1500,6500,0.565217391304348
"419","GARDEN STATE EQUALITY LLC",2007,38550,"SENATE DEMOCRATIC MAJORITY OF NEW JERSEY",25000,28800,0.747081712062257
"420","GARDEN STATE EQUALITY LLC",2007,38550,"NEW JERSEY DEMOCRATIC PARTY",3800,28800,0.747081712062257
"421","GATEWAY STONEWALL DEMOCRATS",2008,2080,"0",0,0,0
"422","GATEWAY STONEWALL DEMOCRATS",2006,200,"0",0,0,0
"423","GAY & LESBIAN ADVOCATES & DEFENDERS",2012,289812.84,"0",0,0,0
"424","GAY & LESBIAN ADVOCATES & DEFENDERS",2012,6897,"0",0,0,0
"425","GAY & LESBIAN ADVOCATES & DEFENDERS",2009,114258,"0",0,0,0
"426","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2009,15292.15,"0",0,0,0
"427","GAY & LESBIAN ALLIANCE AGAINST DEFAMATION",2008,197081.26,"0",0,0,0
"428","GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY",2008,1548,"0",0,0,0
"429","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2008,725,"0",0,0,0
"430","GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY",2006,750,"0",0,0,0
"431","GAY & LESBIAN DEMOCRATS PAC",2000,250,"0",0,0,0
"432","GAY & LESBIAN INDEPENDENT DEMOCRATS",2012,250,"0",0,0,0
"433","GAY & LESBIAN INDEPENDENT DEMOCRATS",2008,250,"0",0,0,0
"434","GAY & LESBIAN INDEPENDENT DEMOCRATS",2006,500,"0",0,0,0
"435","GAY & LESBIAN INDEPENDENT DEMOCRATS",2004,1250,"0",0,0,0
"436","GAY & LESBIAN INDEPENDENT DEMOCRATS",2002,1500,"0",0,0,0
"437","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2006,350,"0",0,0,0
"438","GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID",2004,850,"0",0,0,0
"439","GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID",2002,250,"0",0,0,0
"440","GAY & LESBIAN LABOR ACTIVIST PAC",2008,225,"0",0,0,0
"441","GAY & LESBIAN LABOR ACTIVIST PAC",2006,50,"0",0,0,0
"442","GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG",2007,500,"0",0,0,0
"443","GAY & LESBIAN RESOURCE CENTER IOWA",2002,50000,"IOWA DEMOCRATIC PARTY",50000,50000,1
"444","GAY & LESBIAN UTAH DEMOCRATS",1990,100,"0",0,0,0
"445","GAY & LESBIAN VICTORY FUND",2019,2500,"0",0,0,0
"446","GAY & LESBIAN VICTORY FUND",2018,414566.56,"0",0,0,0
"447","GAY & LESBIAN VICTORY FUND",2017,5175,"0",0,0,0
"448","GAY & LESBIAN VICTORY FUND",2016,44200,"0",0,0,0
"449","GAY & LESBIAN VICTORY FUND",2015,8420,"0",0,0,0
"450","GAY & LESBIAN VICTORY FUND",2014,95407.69,"MAINE DEMOCRATIC PARTY",15500,15500,0.162460698922697
"451","GAY & LESBIAN VICTORY FUND",2013,52925,"0",0,0,0
"452","GAY & LESBIAN VICTORY FUND",2012,706158,"0",0,0,0
"453","GAY & LESBIAN VICTORY FUND",2011,61850,"0",0,0,0
"454","GAY & LESBIAN VICTORY FUND",2010,160407.34,"0",0,0,0
"455","GAY & LESBIAN VICTORY FUND",2009,500,"OHIO DEMOCRATIC PARTY",500,500,1
"456","GAY & LESBIAN VICTORY FUND",2008,154306.51,"0",0,0,0
"457","GAY & LESBIAN VICTORY FUND",2007,1000,"0",0,0,0
"458","GAY & LESBIAN VICTORY FUND",2006,106267.39,"0",0,0,0
"459","GAY & LESBIAN VICTORY FUND",2005,125,"0",0,0,0
"460","GAY & LESBIAN VICTORY FUND",2004,70049.3,"NORTH CAROLINA DEMOCRATIC PARTY",36000,36000,0.513923765119708
"461","GAY & LESBIAN VICTORY FUND",2003,1735,"0",0,0,0
"462","GAY & LESBIAN VICTORY FUND",2002,25881,"0",0,0,0
"463","GAY & LESBIAN VICTORY FUND",2000,22671.49,"0",0,0,0
"464","GAY & LESBIAN VICTORY FUND",1998,17810.35,"0",0,0,0
"465","GAY & LESBIAN VICTORY FUND",1996,2089.84,"0",0,0,0
"466","GAY & LESBIAN VOTERS PAC",2002,200,"0",0,0,0
"467","GAY & LESBIAN VOTERS PAC",2000,1550,"0",0,0,0
"468","GAY LESBIAN & BISEXUAL COMMUNITY",2000,561,"COLORADO DEMOCRATIC PARTY",561,561,1
"469","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2014,4650,"0",0,0,0
"470","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2012,4750,"COLORADO DEMOCRATIC PARTY",500,500,0.105263157894737
"471","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT",2010,4500,"0",0,0,0
"472","GAY OREGON LESBIAN DOLLARS PAC",2000,1500,"0",0,0,0
"473","GAY PASG PAC",2005,500,"0",0,0,0
"474","GAY PASG PAC",2003,1000,"0",0,0,0
"475","GAY STRAIGHT ALLIANCE",2006,100,"0",0,0,0
"476","GAY STRAIGHT STUDENT ALLIANCE",2006,20,"0",0,0,0
"477","GAY/LESBIAN NETWORK OF WESTERN MICHIGAN",2004,100,"0",0,0,0
"478","GAYPASG PAC",2007,5450,"NEW JERSEY DEMOCRATIC PARTY",1250,1250,0.229357798165138
"479","GAYPASG PAC",2006,450,"NEW JERSEY DEMOCRATIC PARTY",450,450,1
"480","GAYPASG PAC",2005,2150,"NEW JERSEY DEMOCRATIC PARTY",950,950,0.441860465116279
"481","GAYPASG PAC",2004,1500,"NEW JERSEY DEMOCRATIC PARTY",1500,1500,1
"482","GAYPASG PAC",2003,2676.04,"NEW JERSEY DEMOCRATIC PARTY",450,450,0.16815892139131
"483","GAYPASG PAC",2002,450,"NEW JERSEY DEMOCRATIC PARTY",450,450,1
"484","GAYPASG PAC",2001,1800,"0",0,0,0
"485","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY",2008,6100,"0",0,0,0
"486","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY",2008,5000,"0",0,0,0
"487","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2014,3000,"0",0,0,0
"488","GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE",2012,450,"0",0,0,0
"489","GENERAL TREASURY TRANSFER",2009,693862.5,"0",0,0,0
"490","GENERAL TREASURY TRANSFER",2008,67181.76,"0",0,0,0
"491","GEORGIA LOG CABIN REPUBLICANS",2001,150,"0",0,0,0
"492","GEORGIA LOG CABIN REPUBLICANS",2000,150,"0",0,0,0
"493","GEORGIA STONEWALL DEMOCRATS",2000,2000,"GEORGIA DEMOCRATIC PARTY",2000,2000,1
"494","GILL ACTION FUND",2016,9600,"0",0,0,0
"495","GILL ACTION FUND",2014,7724.48,"0",0,0,0
"496","GILL ACTION FUND",2013,5000,"HOUSE DEMOCRATS OF DELAWARE",5000,5000,1
"497","GILL ACTION FUND",2012,319000,"0",0,0,0
"498","GILL ACTION FUND",2010,405500,"0",0,0,0
"499","GILL ACTION FUND",2009,277000,"NEW MEXICO DEMOCRATIC PARTY",2000,2000,0.0072202166064982
"500","GILL ACTION FUND",2008,399005.1,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",3505.1,10005.1,0.025075118087463
"501","GILL ACTION FUND",2008,399005.1,"IDAHO DEMOCRATIC PARTY",2500,10005.1,0.025075118087463
"502","GILL ACTION FUND",2008,399005.1,"NEW MEXICO DEMOCRATIC PARTY",2000,10005.1,0.025075118087463
"503","GILL ACTION FUND",2008,399005.1,"VERMONT DEMOCRATIC PARTY",2000,10005.1,0.025075118087463
"504","GILL ACTION FUND",2007,40000,"SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE",15000,40000,1
"505","GILL ACTION FUND",2007,40000,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE",15000,40000,1
"506","GILL ACTION FUND",2007,40000,"NEW JERSEY DEMOCRATIC PARTY",10000,40000,1
"507","GILL ACTION FUND",2006,3806884.45,"0",0,0,0
"508","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2010,300,"0",0,0,0
"509","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2008,4000,"0",0,0,0
"510","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2006,6350,"0",0,0,0
"511","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2004,800,"0",0,0,0
"512","GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY",2002,250,"0",0,0,0
"513","GLBT FRIENDS OF GOOD GOVERNMENT",2008,6250,"0",0,0,0
"514","GLBTQ LEGAL ADVOCATES & DEFENDERS INC",2018,65000,"0",0,0,0
"515","GLC FOR FAIRNESS",2006,4605,"0",0,0,0
"516","GLID",2008,100,"0",0,0,0
"517","GLID",2006,250,"0",0,0,0
"518","GLID",2004,400,"0",0,0,0
"519","GLID",2002,2250,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",1000,1000,0.444444444444444
"520","GLID",2000,400,"0",0,0,0
"521","GLID A K A G & L INDEPENDENT DEMOCRATS",2002,550,"NEW YORK STATE DEMOCRATIC PARTY",300,300,0.545454545454545
"522","GLID A K A G & L INDEPENDENT DEMOCRATS",2000,150,"0",0,0,0
"523","GLUE PAC",1996,100,"0",0,0,0
"524","GREATER BOSTON PFLAG",2018,45000,"0",0,0,0
"525","HANDS OFF WA",1998,1110,"0",0,0,0
"526","HARVEY MILK LGBT DEMOCRATIC CLUB",2014,6388.63,"0",0,0,0
"527","HARVEY MILK LGBT DEMOCRATIC CLUB",2012,420.1,"0",0,0,0
"528","HARVEY MILK LGBT DEMOCRATIC CLUB",2011,600,"0",0,0,0
"529","HARVEY MILK LGBT DEMOCRATIC CLUB",2008,2000,"0",0,0,0
"530","HARVEY MUGGEY LESBIAN/GAY DEMOCRATS",2003,50,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",50,50,1
"531","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2002,200,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",100,200,1
"532","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2002,200,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",100,200,1
"533","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2001,100,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",50,100,1
"534","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2001,100,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",50,100,1
"535","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2000,200,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",100,200,1
"536","HARVEY MUGGY LESBIAN/GAY DEMOCRATS",2000,200,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",100,200,1
"537","HORIZONS FOUNDATION",2018,5000,"0",0,0,0
"538","HORIZONS FOUNDATION",2008,1e+05,"0",0,0,0
"539","HORIZONS FOUNDATION",2006,5000,"0",0,0,0
"540","HORIZONS FOUNDATION",2004,10000,"0",0,0,0
"541","HOUR OF POWER",2010,400,"0",0,0,0
"542","HOUSTON EQUAL RIGHTS ALLIANCE / HERA",2005,4157,"0",0,0,0
"543","HOUSTON LESBIAN PRESS",2000,35,"0",0,0,0
"544","HUDSON BAPTIST CHURCH",2005,100,"0",0,0,0
"545","HUMAN RIGHTS CAMPAIGN",2020,13000,"0",0,0,0
"546","HUMAN RIGHTS CAMPAIGN",2019,127655.18,"DEMOCRATIC NATIONAL CMTE",15000,35750,0.280051306966157
"547","HUMAN RIGHTS CAMPAIGN",2019,127655.18,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,35750,0.280051306966157
"548","HUMAN RIGHTS CAMPAIGN",2019,127655.18,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",5000,35750,0.280051306966157
"549","HUMAN RIGHTS CAMPAIGN",2019,127655.18,"WISCONSIN DEMOCRATIC PARTY",750,35750,0.280051306966157
"550","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"GEORGIA DEMOCRATIC PARTY",32521,128207.23,0.0981916530022408
"551","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",20500,128207.23,0.0981916530022408
"552","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"ARIZONA DEMOCRATIC PARTY",15230.51,128207.23,0.0981916530022408
"553","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"FLORIDA DEMOCRATIC PARTY",15013.91,128207.23,0.0981916530022408
"554","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,128207.23,0.0981916530022408
"555","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"WISCONSIN DEMOCRATIC PARTY",7376.19,128207.23,0.0981916530022408
"556","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"NEVADA DEMOCRATIC PARTY",5490.25,128207.23,0.0981916530022408
"557","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"DEMOCRATIC NATIONAL CMTE",5000,128207.23,0.0981916530022408
"558","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"PENNSYLVANIA DEMOCRATIC PARTY",4309.98,128207.23,0.0981916530022408
